YEAR,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez,Jahr
1906,74,73,153,169,194,157,199,229,140,192,95,24,1699
1907,35,77,153,115,209,175,182,219,189,114,94,35,1597
1908,89,54,150,122,184,221,200,174,169,184,72,61,1680
1909,66,87,120,185,168,166,197,195,173,148,72,48,1625
1910,53,99,169,161,175,196,175,187,126,150,60,54,1605
1911,103,110,151,193,170,188,268,231,182,179,108,70,1953
1912,61,106,132,138,147,192,201,134,88,92,58,67,1416
1913,72,126,160,157,215,192,145,196,179,169,64,53,1728
1914,64,118,117,211,150,179,170,239,177,117,79,69,1690
1915,48,83,113,218,189,218,231,216,210,95,92,59,1772
1916,85,113,130,204,230,181,209,228,154,156,87,56,1833
1917,47,120,149,123,268,268,217,241,242,122,99,55,1951
1918,109,135,170,159,209,183,197,163,161,119,101,34,1740
1919,46,87,140,131,203,211,156,248,240,107,69,57,1695
1920,69,150,193,133,227,211,231,186,163,182,102,53,1900
1921,59,143,218,150,237,219,283,232,219,199,125,53,2137
1922,64,94,147,152,248,194,232,213,125,73,84,46,1672
1923,35,87,171,156,258,140,289,275,162,143,87,25,1828
1924,86,75,186,140,225,193,217,162,194,183,109,101,1871
1925,96,136,131,162,222,257,188,211,161,185,60,46,1855
1926,65,98,113,204,170,152,157,258,207,137,115,27,1703
1927,55,130,192,146,240,237,250,234,162,144,93,61,1944
1928,88,136,163,181,220,251,301,229,157,150,72,41,1989
1929,73,112,222,159,192,198,264,178,244,134,95,60,1931
1930,116,155,151,132,136,242,194,219,131,122,104,66,1768
1931,76,94,178,166,230,234,232,158,120,187,70,82,1827
1932,111,161,156,169,182,212,191,267,186,125,108,124,1992
1933,76,101,205,127,126,171,250,253,182,150,57,57,1755
1934,67,156,151,230,214,180,258,162,207,177,114,64,1980
1935,58,87,171,116,192,277,279,189,206,80,88,58,1801
1936,37,109,175,129,160,150,179,220,142,120,91,87,1599
1937,92,53,99,129,217,225,221,147,147,136,82,53,1601
1938,66,151,207,144,188,243,206,157,183,162,130,44,1881
1939,68,131,111,204,116,220,240,208,147,76,95,64,1680
1940,63,67,137,153,150,197,204,216,156,128,71,63,1605
1941,47,87,165,118,173,233,224,206,192,101,92,65,1703
1942,39,86,158,171,224,238,227,233,218,173,77,96,1940
1943,86,142,204,188,211,185,236,244,140,191,72,61,1960
