YEAR,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez,Jahr
2005,99,110,176,176,232,219,200,182,198,200,102,77,1976
2006,135,98,134,166,199,234,300,145,219,175,105,127,2040
2007,90,131,186,303,214,222,259,196,177,150,85,93,2112
2008,97,181,127,137,228,194,214,242,172,175,112,66,1950
2009,88,96,116,251,228,153,223,267,213,139,91,55,1925
2010,78,115,173,232,124,197,248,168,172,157,75,74,1817
2011,100,141,218,260,268,162,172,274,206,211,181,57,2254
2012,76,100,234,167,217,224,190,268,171,130,114,57,1954
2013,77,97,155,197,157,196,305,249,176,174,75,128,1989
2014,80,135,245,182,194,242,197,164,185,156,107,54,1944
2015,93,140,186,231,168,220,287,257,152,151,143,148, 2181
